Issue Description,Assignees to the Issue,Link
"""determine the value of a named property"" should not imply a new object each time",,https://github.com/whatwg/html/issues/5266
Change examples for datalist to something not gender,,https://github.com/whatwg/html/issues/5256
Should frameset names be in a window's named properties?,,https://github.com/whatwg/html/issues/5230
Small text error in 6.5.2 Data model,,https://github.com/whatwg/html/issues/5219
Misprint in example code,,https://github.com/whatwg/html/issues/5119
Document is now created after Window but we still have an XXX box,,https://github.com/whatwg/html/issues/5110
Investigation requested for beforeprint/afterprint,,https://github.com/whatwg/html/issues/5096
IDL of FormDataEvent constructor has an incorrect optionality,,https://github.com/whatwg/html/issues/5064
marquee is display: inline-block by default,,https://github.com/whatwg/html/issues/5063
Structured cloning of errors makes invalid assumptions about [[GetPrototypeOf]],,https://github.com/whatwg/html/issues/4991
Remove all BigInt references,,https://github.com/whatwg/html/issues/4947
"Typo: ""the URL andpixel density""",,https://github.com/whatwg/html/issues/4911
"Immediate token handling and ""next token"" are incompatible",,https://github.com/whatwg/html/issues/4910
"""A map, whose four keys are the strings ""connect...""",,https://github.com/whatwg/html/issues/4822
clarification of value attribute on input type=image,,https://github.com/whatwg/html/issues/4815
Plain Unicode string,,https://github.com/whatwg/html/issues/4798
"Stop mapping hspace/vspace on <iframe>, since no browsers do that.",,https://github.com/whatwg/html/pull/4743
"Inline ""creator referrer policy""",,https://github.com/whatwg/html/issues/4721
"Table section elements (<tbody>, <thead>, <tfoot>) should have a height attribute that maps into style",,https://github.com/whatwg/html/issues/4718
width attribute on <col> should allow 0 as a value,,https://github.com/whatwg/html/issues/4717
height attribute on <tr> should allow 0 as a value,,https://github.com/whatwg/html/issues/4716
width and height attributes on <table> should perhaps allow 0 as a value,,https://github.com/whatwg/html/issues/4715
"""all the of the ways""",,https://github.com/whatwg/html/issues/4692
inputmode=number should be inputmode=numeric,,https://github.com/whatwg/html/issues/4652
Dispatching invalid at <form>,,https://github.com/whatwg/html/issues/4626
Should script nomodule example include defer attribute?,,https://github.com/whatwg/html/issues/4595
Event index: invalid event can be fired on the form element,,https://github.com/whatwg/html/issues/4570
WebSocket close event object type — CloseEvent or Event?,,https://github.com/whatwg/html/issues/4568
"add ""oncopy"", ""oncut"", ""onpaste"" attribute to list of event handler content attributes",,https://github.com/whatwg/html/issues/4564
Example not simplified in Syntax -> Optional tags,,https://github.com/whatwg/html/issues/4540
"Make ""as a download"" and ""obtaining a file name"" more explicit",,https://github.com/whatwg/html/issues/4518
getContext() table cleanup,,https://github.com/whatwg/html/issues/4511
"Update all ""queue a task"" invocations to explicitly specify their task source",,https://github.com/whatwg/html/issues/4506
"The ""rules for updating the text track rendering"" are not run when mode changes from hidden to showing",,https://github.com/whatwg/html/issues/4486
"""Fire a synthetic mouse event at this element"" for click() is underspecified",,https://github.com/whatwg/html/issues/4451
"Create examples for ""is closing"" and ""disowned""",,https://github.com/whatwg/html/issues/4417
No way to sanely determine a form control's disabled state,,https://github.com/whatwg/html/issues/4395
"HTML spec has CSS rule that is arbitrary and doesn't match reality: table, td, th { border-color: gray; }",,https://github.com/whatwg/html/issues/4391
[ARIA] and [HTMLAAM] links are broken,,https://github.com/whatwg/html/issues/4349
Consider factoring out duplication in <link rel=preload>,,https://github.com/whatwg/html/issues/4341
"""async — Execute script when available, without blocking""",,https://github.com/whatwg/html/issues/4171
Wrong mention of attributes in audio element documentation,,https://github.com/whatwg/html/issues/4159
Editorial: cleanup postMessage() invocation for dedicated workers,,https://github.com/whatwg/html/issues/4140
"""Follows a hyperlink"" should consult noreferrer directly",,https://github.com/whatwg/html/issues/4111
"""Hexademical character reference start state""",,https://github.com/whatwg/html/issues/4006
"Extension "".mjs"" for both type=""module"" and ""nomodule"" might be confusing",,https://github.com/whatwg/html/issues/3942
"Use ""isomorphic decode"" explicitly for Refresh headers",,https://github.com/whatwg/html/issues/3924
Missing semicolon in enum list,,https://github.com/whatwg/html/issues/3903
textarea's value IDL attribute doesn't need CEReactions,,https://github.com/whatwg/html/issues/3889
"Unclear if error event from ""update the image data"" matches implementations",,https://github.com/whatwg/html/issues/3839
"""but tick every 150ms"" in canvas example comment",,https://github.com/whatwg/html/issues/3825
Put class=js on all <pre> elements in the spec that are JavaScript code examples,,https://github.com/whatwg/html/issues/3753
"""Notify about rejected promises"" is missing a task source",,https://github.com/whatwg/html/issues/3731
Reflecting string attributes when the attribute isn't present,,https://github.com/whatwg/html/issues/3722
IDL attributes named required should have leading underscore,,https://github.com/whatwg/html/issues/3720
Escaped characters in source,,https://github.com/whatwg/html/issues/3683
Describe HTMLOptionsCollection's length tree mutation in terms of DOM,,https://github.com/whatwg/html/issues/3652
"""Scroll to the fragment"" algorithm refers to obsolete argument",,https://github.com/whatwg/html/issues/3641
Various algorithms should take an explicit document argument,,https://github.com/whatwg/html/issues/3638
"<form method> description only says ""HTTP method""",,https://github.com/whatwg/html/issues/3568
Separate out document.open() method declaration definitions,,https://github.com/whatwg/html/issues/3565
createImageBitmap's note is wrong,,https://github.com/whatwg/html/issues/3552
Types of `OffscreenCanvas.width` and `.height` needs to be annotated types,,https://github.com/whatwg/html/issues/3540
"grammar glitch in ""digital fingerprint"" paragraph",,https://github.com/whatwg/html/issues/3503
"What task is the end of ""Navigating to a fragment"" talking about?",,https://github.com/whatwg/html/issues/3491
