Issue Description,Assignees to the Issue,Link
[lion-radio-group] can't get keyboard focus when untouched/not prefilled,,https://github.com/ing-bank/lion/issues/569
[button] executes regexp on each render,,https://github.com/ing-bank/lion/issues/546
[storybook] Font usage not aligned,,https://github.com/ing-bank/lion/issues/524
[localize] formatNumber for en-AU is broken with currency sign,,https://github.com/ing-bank/lion/issues/432
[lion-calendar] Prevent default behavior on keyboard interaction,,https://github.com/ing-bank/lion/issues/423
[LionTextarea] dose not support readonly attribute,,https://github.com/ing-bank/lion/issues/333
lion/validators.js isNumberValidator dose not use factoryParams,,https://github.com/ing-bank/lion/issues/329
[storybook] Enable A11Y addon,,https://github.com/ing-bank/lion/issues/298
[localize] date formatting forced,,https://github.com/ing-bank/lion/issues/296
Listener 'all-forms-open-for-registration'  is never removed,,https://github.com/ing-bank/lion/issues/283
[select-rich] Shows incorrect option as selected when new option is added,,https://github.com/ing-bank/lion/issues/265
[field] Feedback slots lack aria-live,,https://github.com/ing-bank/lion/issues/190
[icon] throws when svg is null,,https://github.com/ing-bank/lion/issues/185
[textarea] max-rows allows more rows than it should,,https://github.com/ing-bank/lion/issues/184
[input-email]/[input-iban] Demo's lack labels,,https://github.com/ing-bank/lion/issues/169
add Typescript definitions,,https://github.com/ing-bank/lion/issues/82
[core] export unsafeCSS from lit-element,,https://github.com/ing-bank/lion/issues/6
