Issue Description,Assignees to the Issue,Link
https: Agent.createConnection mutates options object,,https://github.com/nodejs/node/issues/31119
module: incorrect relative path for dynamic import in REPL,,https://github.com/nodejs/node/issues/30868
doc: fix recommendation of setImmediate() over process.nextTick(),,https://github.com/nodejs/node/issues/30801
esm: invalid extension error should provide parent context in error,,https://github.com/nodejs/node/issues/30721
Non-JS extensions not always throwing in ESM resolver,,https://github.com/nodejs/node/issues/30632
Better not found errors for ESM,,https://github.com/nodejs/node/issues/30603
--experimental-resolve-self and exports sugar,,https://github.com/nodejs/node/issues/30602
Experimental modules warning does not show when using dynamic import,,https://github.com/nodejs/node/issues/30601
--experimental modules flags should have warnings,,https://github.com/nodejs/node/issues/30600
Combine ERR_REQUIRE_ESM with warning,,https://github.com/nodejs/node/issues/30599
fs: make rmdir() emfileWait handle ENFILE,,https://github.com/nodejs/node/issues/30482
windows: test-source-map failure,,https://github.com/nodejs/node/issues/30441
Doctool may swallow errors due to unhandled async functions,,https://github.com/nodejs/node/issues/30090
http docs should refer to stream.Duplex instead of net.Socket,,https://github.com/nodejs/node/issues/29948
NODE_V8_COVERAGE does not fail gracefully when inspector is disabled,,https://github.com/nodejs/node/issues/29542
repl: bug in fs module autocompletion,,https://github.com/nodejs/node/issues/29424
doc: AsyncGenerator + Writable + unhandled exception,,https://github.com/nodejs/node/issues/29397
Cannot read property 'bigint' of undefined,,https://github.com/nodejs/node/issues/29113
"tls.DEFAULT_MIN_VERSION according to docs is v11 feature, but its present in v10.16.0 and is incorrect",,https://github.com/nodejs/node/issues/28758
add note in BUILDING.md about running `make distclean`,,https://github.com/nodejs/node/issues/28675
doc: crypto.createDiffieHellmanGroup() not documented,,https://github.com/nodejs/node/issues/28523
writable stream _write and _writev,,https://github.com/nodejs/node/issues/28408
Fix documentation for `childProcess.kill(signal)`: `signal` can be a number,,https://github.com/nodejs/node/issues/27750
API docs: type for TLS Certificate's `subjectaltname` field is wrong.,,https://github.com/nodejs/node/issues/27721
Update terminal environment variables to detect colors,,https://github.com/nodejs/node/issues/27609
"cleanup: reduce the number of `#include ""env.h""` and `#include ""env-inl.h""` in the code base",,https://github.com/nodejs/node/issues/27531
test/parallel/test-dgram-connect.js fails locally,,https://github.com/nodejs/node/issues/27341
path.extname('.a.a')!='',,https://github.com/nodejs/node/issues/27292
Refactor RealEnvStore methods to use uv_os_getenv/setenv/unsetenv,,https://github.com/nodejs/node/issues/27211
"Can we report the node versions, in addition to the ABI version, on ABI mismatch?",,https://github.com/nodejs/node/issues/27100
meaning of the boolean return value of `send()` not documented,,https://github.com/nodejs/node/issues/26995
error docs for SystemErrors seems to partially predate the existence of the class,,https://github.com/nodejs/node/issues/26861
lib: reduce internal usage of public require('util'),,https://github.com/nodejs/node/issues/26546
tests: review and fix ineffective error tests,,https://github.com/nodejs/node/issues/26385
Bug: 'Eterm' → 'eterm' in getColorDepth,,https://github.com/nodejs/node/issues/26077
doc(http): res.write(data) followed by res.end() is not actually equivalent to res.end(data),,https://github.com/nodejs/node/issues/26005
doc: ERR_SYNTHETIC issues on v11.x,,https://github.com/nodejs/node/issues/25750
docs: Dirent definition doesn't tell me anything useful about Dirent,,https://github.com/nodejs/node/issues/25595
Vary: Accept-Encoding missing in zlib examples,,https://github.com/nodejs/node/issues/25495
doc: `os.networkInterfaces()` example outdated,,https://github.com/nodejs/node/issues/25408
Need change in the read me file,,https://github.com/nodejs/node/issues/24872
Worker should indicate it inherits from EventEmitter,,https://github.com/nodejs/node/issues/24732
Remove util.inherits usage internally?,,https://github.com/nodejs/node/issues/24395
doc: list the stability status of each API in one place?,,https://github.com/nodejs/node/issues/23723
module: createRequireFromPath documentation is incorrect,,https://github.com/nodejs/node/issues/23710
Node core building instructions in one place,,https://github.com/nodejs/node/issues/23491
Can we restart the work on overridable globalAgent?,,https://github.com/nodejs/node/issues/23281
"doc: document ""flat"" `util.inspect` signature",,https://github.com/nodejs/node/issues/23205
doc: crypto sign.sign() signature description missing options,,https://github.com/nodejs/node/issues/22813
Add blurb to N-API documentation indicating that we recommend the use of badges,,https://github.com/nodejs/node/issues/22796
test: help annotate `test/parallel/test-util-log.js`,,https://github.com/nodejs/node/issues/22472
Document `Buffer.of()`,,https://github.com/nodejs/node/issues/22367
Documentation for BufferwriteDoubleLE/writeDoubleBE is confusing,,https://github.com/nodejs/node/issues/22158
fs.rename doesn't work as documented,,https://github.com/nodejs/node/issues/21957
10.7.0 doc mistake: new vm.Module,,https://github.com/nodejs/node/issues/21904
"When worker thread throw an error, main thread recieves exit code 0 instead of 1",,https://github.com/nodejs/node/issues/21707
dns.js not properly iterating through DNS array,,https://github.com/nodejs/node/issues/21391
doc: explicitly mention that the explanation of an synchronous fs API live in the docs of the async API,,https://github.com/nodejs/node/issues/21197
Offset must be >= 0 && <= 0 Out of range 0 :-),,https://github.com/nodejs/node/issues/21193
There may be a syntax error in the nodejs napi doc.,,https://github.com/nodejs/node/issues/21049
Inconsistent documentation: hostname vs host,,https://github.com/nodejs/node/issues/20892
doc: outdated link,,https://github.com/nodejs/node/issues/20853
Add lint rule to enforce snake_case in file names,,https://github.com/nodejs/node/issues/20446
"fs: promises have undocumented write(string,…) method",,https://github.com/nodejs/node/issues/20406
Update openssl command to list digest algos in docs,,https://github.com/nodejs/node/issues/20385
Please remove eu-strip from tarball,,https://github.com/nodejs/node/issues/20280
doc: add section in fs to document mode argument,,https://github.com/nodejs/node/issues/20049
State explicitly in docs that 'close' does not take any arguments,,https://github.com/nodejs/node/issues/20018
doc: make test commands a little more consistent,,https://github.com/nodejs/node/issues/19919
stream: simplify checks for highWaterMark,,https://github.com/nodejs/node/issues/19893
"fs,net: missing documentation for new ""ready"" events",,https://github.com/nodejs/node/issues/19796
Http2SecureServer.close fails,,https://github.com/nodejs/node/issues/19711
stream: update comment for needMoreData,,https://github.com/nodejs/node/issues/19695
Listening to SIGUSR1 blocks debugger,,https://github.com/nodejs/node/issues/19619
test: More descriptive name for test file names ,,https://github.com/nodejs/node/issues/19592
"doc: missing ""changes"" entry for vm code generation options",,https://github.com/nodejs/node/issues/19419
test: Incorrect assumptions on the user uid and gid,,https://github.com/nodejs/node/issues/19371
Standardize `ready` event for built-in streams,,https://github.com/nodejs/node/issues/19304
