Issue Description,Assignees to the Issue,Link
DOC: Standardize references to pandas in the documentation,,https://github.com/pandas-dev/pandas/issues/32316
CI: Notifications when a job in GitHub Actions fails,,https://github.com/pandas-dev/pandas/issues/32301
Incomplete reference to `convert_dtypes` in `to_numeric` docstring,,https://github.com/pandas-dev/pandas/issues/32295
Plotting Int64 columns with nulled integers (NAType) fails,,https://github.com/pandas-dev/pandas/issues/32073
"""Querying a table"" within Sector HDF5 in User Guide",,https://github.com/pandas-dev/pandas/issues/32039
ohlc documentation,,https://github.com/pandas-dev/pandas/issues/31919
Documentation for divmod and rdivmod gives wrong return type,,https://github.com/pandas-dev/pandas/issues/31663
DOC: extending pandas page is not rendered correctly,,https://github.com/pandas-dev/pandas/issues/31645
Does #28827 also apply to applymap?,,https://github.com/pandas-dev/pandas/issues/31620
Unexpected TypeError with groupby,,https://github.com/pandas-dev/pandas/issues/31605
DOC: to_csv is not properly linked from read_csv docstring,,https://github.com/pandas-dev/pandas/issues/31448
SAS class comment mentions inexistant path,,https://github.com/pandas-dev/pandas/issues/31391
CI: xfail sparse warning,,https://github.com/pandas-dev/pandas/issues/31310
"read_csv: if parse_dates dont appear in use_cols, we get a trace",,https://github.com/pandas-dev/pandas/issues/31251
"DOC BUG API Reference documentation truncated for Series.unstack(), Series.",,https://github.com/pandas-dev/pandas/issues/31235
Docs mention non-existent doc/source/api.rst,,https://github.com/pandas-dev/pandas/issues/31135
DOC: replace ggpy with plotnine on the ecosystem page,,https://github.com/pandas-dev/pandas/issues/31087
"Series.to_json produces invalid JSON with `orient=""index""` if index is multilevel",,https://github.com/pandas-dev/pandas/issues/31028
TST: Disallow bare pytest.raises,,https://github.com/pandas-dev/pandas/issues/30999
DOC: plotting backend is not mentioned in the user guide,,https://github.com/pandas-dev/pandas/issues/30984
AssertionError from Series.append(DataFrame) with 1.0.0rc0,,https://github.com/pandas-dev/pandas/issues/30975
DOC: Fix isort output in CI,,https://github.com/pandas-dev/pandas/issues/30974
DOC: Remove tips and tricks section page from the wiki,,https://github.com/pandas-dev/pandas/issues/30964
DOC: Replace old string formatting syntax in calling of Appender decorators,,https://github.com/pandas-dev/pandas/issues/30933
DOC: Whatsnew for 1.0 has deprecations listed in Enhancements section,,https://github.com/pandas-dev/pandas/issues/30927
DOC: Fix indentation in docstring example,,https://github.com/pandas-dev/pandas/issues/30830
DOC: Move import conventions from wiki to docs,,https://github.com/pandas-dev/pandas/issues/30808
CLN: Fix FutureWarnings in the benchmarks,,https://github.com/pandas-dev/pandas/issues/30780
CI: switch travis default python to 3.7,,https://github.com/pandas-dev/pandas/issues/30538
"""Next"" link from user_guide/io.rst goes to read_sql_table API page",,https://github.com/pandas-dev/pandas/issues/30332
CI: Checks job aborted if a step fails,,https://github.com/pandas-dev/pandas/issues/30298
DEPR: Remove pandas.np,,https://github.com/pandas-dev/pandas/issues/30296
The setting xrot=0 in DataFrame.hist() doesn't work with by and subplots,,https://github.com/pandas-dev/pandas/issues/30288
Move 'For Developers' content from wiki to contributing docs.,,https://github.com/pandas-dev/pandas/issues/30232
"pandas.read_pickle can take buffer object as well, not only str",,https://github.com/pandas-dev/pandas/issues/30163
DataFrameGroupBy.shift Loses TimeZone in datetime64 columns,,https://github.com/pandas-dev/pandas/issues/30134
CI: the printing of skipped tests is broken,,https://github.com/pandas-dev/pandas/issues/30040
"typo in docs ""Essential basic functionality""",,https://github.com/pandas-dev/pandas/issues/29934
"Replace ""foo!r"" to ""repr(foo)"" syntax",,https://github.com/pandas-dev/pandas/issues/29886
PERF: improve conversion to BooleanArray from int/float array,,https://github.com/pandas-dev/pandas/issues/29838
Aggregation fails when grouping on more than one key and the column to aggregate is a tz-aware timestamp series,,https://github.com/pandas-dev/pandas/issues/29833
Aggregation (sum) fails for a grouping along a multi-level column in pandas >=0.25.x,,https://github.com/pandas-dev/pandas/issues/29772
CI: Action to assign issues fails when quotes are present,,https://github.com/pandas-dev/pandas/issues/29768
