Issue Description,Assignees to the Issue,Link
Add `dim-merge-commits` feature,,https://github.com/sindresorhus/refined-github/issues/2827
Improve dark mode style in Firefox (Options page),,https://github.com/sindresorhus/refined-github/issues/2791
`batch-open-issues` opens tabs in the wrong window,,https://github.com/sindresorhus/refined-github/issues/2786
Selectors are broken for tags-dropdown,,https://github.com/sindresorhus/refined-github/issues/2781
"Issue count appears as ""NaN"" for repositories with more than 5,000 open issues",,https://github.com/sindresorhus/refined-github/issues/2780
'Attach files' button not working / throwing `Cannot read property 'click' of null`,,https://github.com/sindresorhus/refined-github/issues/2774
Include `Linked issues` section in `clean-sidebar` feature,,https://github.com/sindresorhus/refined-github/issues/2773
"Wrong `releases-tab`  position if repo name contains ""settings""",,https://github.com/sindresorhus/refined-github/issues/2763
Extra padding on CI status indicator,,https://github.com/sindresorhus/refined-github/issues/2762
Draft PR icon looks weird,,https://github.com/sindresorhus/refined-github/issues/2755
"See ""Last updated"" date on Pinned issues",,https://github.com/sindresorhus/refined-github/issues/2747
Link to you subscribed discussion in the current repo,,https://github.com/sindresorhus/refined-github/issues/2746
Also hide `0 Packages` tab in user profiles,,https://github.com/sindresorhus/refined-github/issues/2724
Make `update-pr-from-base-branch`'s button smaller,,https://github.com/sindresorhus/refined-github/issues/2723
Fix some TODOs in the code (also TypeScript-related),,https://github.com/sindresorhus/refined-github/issues/2721
"Make ""Edit/delete file"" clickable on compare page",,https://github.com/sindresorhus/refined-github/issues/2704
`display: flex` doesn't play well with Notifications Beta search,,https://github.com/sindresorhus/refined-github/issues/2703
 Restore `quick-review-button` feature,,https://github.com/sindresorhus/refined-github/issues/2700
`always-show-branch-delete-buttons` appears even after the branch deletion,,https://github.com/sindresorhus/refined-github/issues/2697
`ctrl+enter` should publish/update release,,https://github.com/sindresorhus/refined-github/issues/2696
Add spacing between branch pull down menu and open pr link,,https://github.com/sindresorhus/refined-github/issues/2695
`link-to-file-in-file-history` breaks when branches contain slashes,,https://github.com/sindresorhus/refined-github/issues/2692
"""Update Branch"" button: show warning if PAT is undefined",,https://github.com/sindresorhus/refined-github/issues/2679
⚡️ Let's make Refined GitHub faster,,https://github.com/sindresorhus/refined-github/issues/2671
Allow clearing the extension storage,,https://github.com/sindresorhus/refined-github/issues/2669
Filters selection box on issues page is blank,,https://github.com/sindresorhus/refined-github/issues/2651
Allow disabling `align-issue-labels`,,https://github.com/sindresorhus/refined-github/issues/2650
Highlight **created** repository count ,,https://github.com/sindresorhus/refined-github/issues/2649
`comments-time-machine-links` piling up when hiding comments,,https://github.com/sindresorhus/refined-github/issues/2637
Spacing issue on repository discussion lists,,https://github.com/sindresorhus/refined-github/issues/2631
`branch-buttons` and `list-prs-for-file` break the layout,,https://github.com/sindresorhus/refined-github/issues/2624
`view-markdown-source` is not being loaded on `*.md` pages,,https://github.com/sindresorhus/refined-github/issues/2619
