Issue Description,Assignees to the Issue,Link
update aws-nodejs-typescript template with better defaults,,https://github.com/serverless/serverless/issues/6874
Improve the SQS documentation part,,https://github.com/serverless/serverless/issues/6516
Exclude common Yarn log files,,https://github.com/serverless/serverless/issues/6333
Add support for C++,,https://github.com/serverless/serverless/issues/5987
Doc Request: Working example of MOCK integration,,https://github.com/serverless/serverless/issues/5960
CloudFormation template normalization for WebSockets deployment resource,,https://github.com/serverless/serverless/issues/5940
aws-nodejs-typescript template includes context error,,https://github.com/serverless/serverless/issues/5773
Cached credentials in getCredentials() cause offline testing to fail,,https://github.com/serverless/serverless/issues/5747
Replace node-fetch with slim-fetch,,https://github.com/serverless/serverless/issues/5709
C++ template!,,https://github.com/serverless/serverless/issues/5576
Ruby support,,https://github.com/serverless/serverless/issues/5540
TravisCI's async test randomly fail ,,https://github.com/serverless/serverless/issues/5533
Update cli examples in documentation to use npx,,https://github.com/serverless/serverless/issues/5506
Support for native async/await in AWS Lambda for aws-nodejs-typescript template,,https://github.com/serverless/serverless/issues/5502
Line number in code sample on docs,,https://github.com/serverless/serverless/issues/5488
PowerShell core 6.0 template,,https://github.com/serverless/serverless/issues/5414
Fallback value for unset variable is removing spaces,,https://github.com/serverless/serverless/issues/5398
Deploying new serverless project from template openwhisk-java-maven fails,,https://github.com/serverless/serverless/issues/5261
Lambda .Net Core 2.1 Support replacing EOL Core 2.0,,https://github.com/serverless/serverless/issues/5122
Update aws-nodejs runtime to nodejs8.10,,https://github.com/serverless/serverless/issues/5087
Create command didn't use service name given as -n option.,,https://github.com/serverless/serverless/issues/5070
Vulnerabilites Report for Serverless,,https://github.com/serverless/serverless/issues/5067
Document how to access config & methods of Serverless instance passed to variable reference function in Javascript file,,https://github.com/serverless/serverless/issues/5064
throw exit 1 on deployment errors,,https://github.com/serverless/serverless/issues/5061
CLI argument being converted to number and rounded up,,https://github.com/serverless/serverless/issues/5050
pathParameters should be uri decoded,,https://github.com/serverless/serverless/issues/5037
invokedFunctionArn missing from local invoke context,,https://github.com/serverless/serverless/issues/4905
Java invoke local NoSuchMethodException in abstract handlers,,https://github.com/serverless/serverless/issues/4867
`serverless invoke local` returns exit status 0 when the handler code throws error,,https://github.com/serverless/serverless/issues/4852
More documentation needed on apiGateway configuration,,https://github.com/serverless/serverless/issues/4753
Java template uses non-recommended version of Log4j,,https://github.com/serverless/serverless/issues/4739
--template-path out of memory error when referencing the home dir (~/...),,https://github.com/serverless/serverless/issues/4724
Trivial: add a log line to the hello world action for the quick start guide,,https://github.com/serverless/serverless/issues/4721
Feature Proposal: Restricting alexaSkill function invocations by skill id,,https://github.com/serverless/serverless/issues/4700
Upgrade dependencies of aws-scala-sbt template,,https://github.com/serverless/serverless/issues/4634
Can't parse variable system when a second argument is hard-coded,,https://github.com/serverless/serverless/issues/4624
Feature Request: Set Concurrency Limits on Individual AWS Lambda ,,https://github.com/serverless/serverless/issues/4555
Golang support,,https://github.com/serverless/serverless/issues/4507
Custom Authorizer sample is not passing Enhanced Context to the target Lambda function,,https://github.com/serverless/serverless/issues/4374
Add Node.js v8.x to Travis and AppVeyor config files,,https://github.com/serverless/serverless/issues/4191
Validate dependancies are present before deploying,,https://github.com/serverless/serverless/issues/4075
Tests resolve with unhandled rejection errors,,https://github.com/serverless/serverless/issues/3920
Quick-start documentation pages links broken in Github,,https://github.com/serverless/serverless/issues/3916
DX: Improve invalid aws credentials message,,https://github.com/serverless/serverless/issues/3862
C# missing documentation details,,https://github.com/serverless/serverless/issues/3853
Add global.json to csharp template,,https://github.com/serverless/serverless/issues/3795
Service Bus Trigger has incorrect type in docs,,https://github.com/serverless/serverless/issues/3750
README refers to non-existent issue labels,,https://github.com/serverless/serverless/issues/3726
Serverless + NodeJS v8.0 = error on sls deploy,,https://github.com/serverless/serverless/issues/3723
functions with dot in name,,https://github.com/serverless/serverless/issues/3665
Update docs for new API Gateway integration types,,https://github.com/serverless/serverless/issues/3646
Updating environment variables on `serverless function deploy` cli command,,https://github.com/serverless/serverless/issues/3542
Custom LAMBDA_TASK_ROOT for invoke local,,https://github.com/serverless/serverless/issues/3520
