Project Name,Link to Github,Status?,Notes,Number of Issues,Number of Good First Issues,Number Commits Sampled,Number Issues Sampled
React,https://github.com/facebook/react,,label = 'good first issue (taken)' & 'good first issue',,,,
Angular,https://github.com/angular/angular,,,,,,
Ruby on Rails,https://github.com/rails/rails,,,,,,
Vue.js,https://github.com/vuejs/vue,Done,,8835,26,30,26
Express,https://github.com/expressjs/express,,label = 'good first contribution',,,,
ASP.NET,https://github.com/dotnet/aspnetcore,,,,,,
Flask,https://github.com/pallets/flask,,,,,,
Node.js,https://github.com/nodejs/node,,,,,,
Pandas,https://github.com/pandas-dev/pandas,,,,,,
Tensorflow,https://github.com/tensorflow/tensorflow,,,,,,
Cordova,https://github.com/apache/cordova,,,,,,
Xamarin,https://github.com/xamarin/Xamarin.Forms,,label = 'up for grabs',,,,
Flutter,https://github.com/flutter/flutter,,label = 'good first contribution',,,,
PyTorch,https://github.com/pytorch/pytorch,,,,,,
Chef,https://github.com/chef/chef,,label ='status:good first issue',,,,
ElasticSearch,https://github.com/elastic/elasticsearch,,,,,,
DeepSpeed,https://github.com/microsoft/DeepSpeed,,,,,,
PySyft,https://github.com/OpenMined/PySyft,,,,,,
Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,,,,,,
Front-End-Performance-Checklist,https://github.com/thedaviddias/Front-End-Performance-Checklist,,,,,,
Serverless,https://github.com/serverless/serverless,,,,,,
Kubernetes,https://github.com/kubernetes/kubernetes,,,,,,
HTML Standard Spec,https://github.com/whatwg/html,,,,,,
CSS Working Draft,https://github.com/w3c/csswg-drafts,,,,,,
Fyne,https://github.com/fyne-io/fyne,,,,,,
PowerToys,https://github.com/microsoft/PowerToys,,label = 'Help Wanted-Good first issue',,,,
Animate.css,https://github.com/daneden/animate.css,,,,,,
JSON for C++,https://github.com/nlohmann/json,,,,,,
Clash,https://github.com/Dreamacro/clash,,,,,,
Keras,https://github.com/keras-team/keras,,,,,,
Lion,https://github.com/ing-bank/lion,,,,,,
Org-Roam,https://github.com/jethrokuan/org-roam,,label = 'tag: good first issue',,,,
Crawlab,https://github.com/crawlab-team/crawlab,,,,,,
Joplin,https://github.com/laurent22/joplin,,,,,,
Todomvc,https://github.com/tastejs/todomvc,,label = 'first time contributor',,,,
Istio,https://github.com/istio/istio,,label = 'community/good first issue',,,,
efcore,https://github.com/dotnet/efcore,,,,,,
Leon AI,https://github.com/leon-ai/leon,,,,,,
Playwright,https://github.com/microsoft/playwright,,,,,,
CleanArchitecture,https://github.com/ardalis/CleanArchitecture,,,,,,
Carbon,https://github.com/briannesbitt/Carbon ,,,,,,
aws-cdk,https://github.com/aws/aws-cdk ,,,,,,
Gogs,https://github.com/gogs/gogs ,,,,,,
Node's best practices,https://github.com/goldbergyoni/nodebestpractices ,,,,,,
Unform,https://github.com/Rocketseat/unform ,Done,,84,1,30 (25 unique due  to PR  merge),1
Refined Github,https://github.com/sindresorhus/refined-github ,,,,,,
