Project Name,Link to Github,Status?,Notes
React,https://github.com/facebook/react,,
Angular,https://github.com/angular/angular,,
Ruby on Rails,https://github.com/rails/rails,,
Vue.js,https://github.com/vuejs/vue,,
Express,https://github.com/expressjs/express,,label = 'good first contribution'
ASP.NET,https://github.com/dotnet/aspnetcore,,
Flask,https://github.com/pallets/flask,,
Node.js,https://github.com/nodejs/node,,
Pandas,https://github.com/pandas-dev/pandas,,
Tensorflow,https://github.com/tensorflow/tensorflow,,
Cordova,https://github.com/apache/cordova,,
Xamarin,https://github.com/xamarin/Xamarin.Forms,,label = 'up for grabs'
Flutter,https://github.com/flutter/flutter,,label = 'good first contribution'
PyTorch,https://github.com/pytorch/pytorch,,
Chef,https://github.com/chef/chef,,label ='status:good first issue'
ElasticSearch,https://github.com/elastic/elasticsearch,,
DeepSpeed,https://github.com/microsoft/DeepSpeed,,
PySyft,https://github.com/OpenMined/PySyft,,
Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,,
Front-End-Performance-Checklist,https://github.com/thedaviddias/Front-End-Performance-Checklist,,
Serverless,https://github.com/serverless/serverless,,
Kubernetes,https://github.com/kubernetes/kubernetes,,
HTML Standard Spec,https://github.com/whatwg/html,,
CSS Working Draft,https://github.com/w3c/csswg-drafts,,
